order_id,restaurant_id,food_item,order_time,delivery_time,delivery_distance,order_qty,order_value,delivery_method,traffic_condition,weather_condition,delivery_time_actual,delivery_delay,route_taken,customer_id,age,gender,location,order_history,customer_rating,cuisine,restaurant_name,order_frequency,loyalty_program,food_temperature,food_freshness,packaging_quality,food_condition,customer_satisfaction,small_route,bike_friendly_route,route_type,route_efficiency,predicted_delivery_mode,traffic_avoidance,,Item,Sample Price (CAD)
c79a24U,1,Shawarma,2024-01-31,2024-01-31,6.36,11,110,Bike,Medium,Snowy,0,9.75,Route_2,26efc35b-184a-410c-8806-9bfd47a4c2b0,59,Male,City_5,7,4,Mediterranean,Aegean Table,Monthly,Yes,Warm,1,3,Poor,5,TRUE,FALSE,Bike-friendly,0.430704162,Car,No,,,
471069M,1,Shawarma,2024-08-01,2024-08-01,6.28,23,230,Bike,Low,Snowy,0,-6.15,Route_4,bfcaf843-ea39-458f-ab6b-b04618de2dd9,26,Male,City_7,8,5,Mediterranean,Aegean Table,Weekly,Yes,Hot,2,2,Good,5,TRUE,TRUE,Mixed,0.646603418,Bike,No,,,
7db57fQ,1,Shawarma,2024-08-28,2024-08-28,10.82,22,220,Car,Medium,Rainy,0,-9.77,Route_2,081fa71f-5ca8-4953-9686-a6598484d7d5,53,Female,City_1,12,1,Mediterranean,Aegean Table,Monthly,No,Warm,4,2,Good,4,TRUE,TRUE,Car-only,0.11854016,Bike,No,,,
dc0169Z,1,Soup,2024-10-23,2024-10-23,4.81,17,93.5,Walk,Medium,Snowy,0,4.98,Route_1,e09f6cfa-48b1-429e-8a19-759107c46db9,32,Female,City_3,36,2,Mediterranean,Aegean Table,Monthly,Yes,Cold,2,5,Fair,3,TRUE,TRUE,Car-only,0.675125437,Bike,No,,,
c720fdR,1,Soup,2024-11-04,2024-11-04,4.28,2,11,Bike,Medium,Rainy,0,16.28,Route_1,2237f7ff-0f16-4c44-8d6c-77a0feca8832,42,Other,City_3,23,4,Mediterranean,Aegean Table,Weekly,Yes,Cold,3,5,Poor,1,FALSE,FALSE,Mixed,0.178209758,Car,No,,,
eaddbeH,1,Shawarma,2024-07-08,2024-07-08,2.55,5,50,Walk,Medium,Snowy,0,2.64,Route_4,fe1b798e-ab7f-4625-9882-290ead38de5a,57,Other,City_8,10,4,Mediterranean,Aegean Table,Monthly,No,Warm,5,5,Fair,4,FALSE,FALSE,Car-only,0.261153796,Car,No,,,
36c963K,1,Soup,2024-03-12,2024-03-12,6.74,4,22,Bike,Low,Sunny,0,6.32,Route_3,6b1b7a90-dc58-49ff-a6b6-ded6709c8b6c,53,Other,City_3,41,2,Mediterranean,Aegean Table,Weekly,No,Warm,4,3,Poor,2,FALSE,FALSE,Car-only,0.921065276,Car,Yes,,,
f1379fU,1,Soup,2024-03-07,2024-03-07,2.53,20,110,Walk,Low,Sunny,0,-0.9,Route_4,bd18221b-fbe9-4785-8fc9-a512a5a3817a,24,Female,City_7,13,3,Mediterranean,Aegean Table,Monthly,Yes,Hot,5,1,Poor,1,FALSE,FALSE,Car-only,0.648309591,Car,No,,,
686e6eE,1,Soup,2024-04-20,2024-04-20,5.75,1,5.5,Car,High,Snowy,0,10.71,Route_5,65192b43-3636-4a56-a08b-dd4df045b4e1,39,Female,City_4,41,2,Mediterranean,Aegean Table,Weekly,Yes,Warm,2,1,Poor,4,TRUE,FALSE,Car-only,0.538728047,Car,No,,,
3d338aY,1,Salad,2024-07-24,2024-07-24,5.69,21,178.5,Bike,Medium,Sunny,0,6.89,Route_5,db50f352-d875-4824-be41-b78b58f0b894,55,Male,City_1,35,5,Mediterranean,Aegean Table,Weekly,No,Hot,5,4,Good,5,FALSE,FALSE,Car-only,0.923730037,Car,Yes,,,
6671caV,1,Salad,2024-01-19,2024-01-19,9.11,21,178.5,Bike,Low,Snowy,0,16.54,Route_5,09fbe9ed-275c-4431-a435-bf08b554b04f,57,Male,City_3,39,1,Mediterranean,Aegean Table,Weekly,No,Cold,1,5,Good,4,TRUE,FALSE,Bike-friendly,0.773156182,Car,No,,,
14f089B,1,Shawarma,2024-12-06,2024-12-06,7.18,10,100,Car,High,Snowy,0,6.46,Route_1,1f68b2b2-ffb1-418a-a7e3-7ffa4a1cf07e,32,Male,City_1,19,1,Mediterranean,Aegean Table,Monthly,No,Hot,3,5,Fair,2,FALSE,TRUE,Car-only,0.080037757,Car,No,,,
8a0814X,1,Salad,2024-04-25,2024-04-25,14.33,19,161.5,Walk,High,Rainy,0,-6.46,Route_4,6d2002a3-8ce5-4822-97cf-09d140959c3c,29,Other,City_9,2,1,Mediterranean,Aegean Table,Weekly,No,Cold,4,2,Good,5,FALSE,TRUE,Mixed,0.886855509,Car,Yes,,,
3fbf8fO,1,Shawarma,2024-07-08,2024-07-08,4.11,17,170,Walk,High,Sunny,0,-5.97,Route_2,3f51fcd1-804e-4f44-95e1-09b164fef4af,18,Other,City_9,17,3,Mediterranean,Aegean Table,Weekly,No,Cold,1,4,Good,2,FALSE,TRUE,Car-only,0.837503225,Car,Yes,,,
c87683I,1,Shawarma,2024-04-20,2024-04-20,14.97,8,80,Bike,High,Sunny,0,19.54,Route_5,e6e6347d-09ad-447a-b2ce-96b43fcb401a,48,Female,City_5,10,3,Mediterranean,Aegean Table,Weekly,Yes,Hot,5,4,Good,1,TRUE,FALSE,Mixed,0.797908665,Car,No,,,
30cd1cQ,1,Shawarma,2024-11-23,2024-11-23,6.13,21,210,Car,Medium,Sunny,0,12.28,Route_2,b379dc8e-c06f-4fe3-a7ce-78b1b45cec6e,48,Other,City_9,38,1,Mediterranean,Aegean Table,Weekly,Yes,Hot,4,4,Poor,5,TRUE,FALSE,Mixed,0.381875732,Bike,No,,,
e1bef5Q,1,Soup,2024-06-23,2024-06-23,2.85,4,22,Bike,High,Snowy,0,2.24,Route_4,329007d6-f421-4e73-9e88-e862e1caeafd,21,Female,City_8,19,1,Mediterranean,Aegean Table,Weekly,Yes,Warm,1,1,Good,5,TRUE,TRUE,Car-only,0.013825889,Car,No,,,
8429c5I,1,Soup,2024-04-20,2024-04-20,11.4,9,49.5,Bike,Low,Snowy,0,15.91,Route_4,bf41c51f-e48f-4d14-bb8a-830866921664,30,Male,City_8,32,2,Mediterranean,Aegean Table,Weekly,Yes,Cold,4,3,Good,3,TRUE,FALSE,Bike-friendly,0.748456564,Bike,No,,,
15a929P,1,Soup,2024-06-17,2024-06-17,5.08,19,104.5,Bike,Medium,Sunny,0,12.8,Route_2,5efa600f-161e-42c3-a633-738d841f65c6,38,Other,City_8,34,3,Mediterranean,Aegean Table,Monthly,Yes,Warm,4,4,Poor,4,TRUE,FALSE,Car-only,0.017886712,Car,No,,,
6a29b7N,1,Soup,2024-05-14,2024-05-14,8.89,23,126.5,Car,Low,Snowy,0,12.63,Route_5,47ea51ab-9d51-4f61-8758-374a3afa861d,45,Male,City_8,25,3,Mediterranean,Aegean Table,Monthly,Yes,Cold,3,2,Good,3,TRUE,FALSE,Car-only,0.430603341,Car,No,,,
b788c7M,1,Salad,2024-05-01,2024-05-01,5.5,6,51,Car,Low,Rainy,0,19.32,Route_2,66ca0693-0d8b-4025-b1f3-4212a203d5a9,20,Male,City_8,7,1,Mediterranean,Aegean Table,Monthly,Yes,Warm,1,2,Poor,1,FALSE,FALSE,Bike-friendly,0.79494109,Car,No,,,
39e2d4Y,1,Salad,2024-08-03,2024-08-03,2.3,1,8.5,Bike,High,Rainy,0,12.1,Route_3,5bcb8ea9-489a-4e6f-8812-f23f99aa6fda,36,Other,City_7,46,3,Mediterranean,Aegean Table,Monthly,Yes,Warm,1,3,Good,3,FALSE,FALSE,Mixed,0.797644546,Car,No,,,
34ef1aA,1,Shawarma,2024-03-25,2024-03-25,13.05,11,110,Walk,High,Snowy,0,17.27,Route_2,90c4b8a4-655b-4bee-af06-e2906329a904,19,Female,City_2,20,4,Mediterranean,Aegean Table,Monthly,No,Cold,3,2,Poor,4,FALSE,TRUE,Bike-friendly,0.9087908,Car,Yes,,,
b84055Q,1,Shawarma,2024-10-30,2024-10-30,5.04,6,60,Car,Low,Rainy,0,1.57,Route_4,af9964ac-5e44-477d-99dd-7101e019ee0d,46,Female,City_9,7,5,Mediterranean,Aegean Table,Monthly,Yes,Warm,4,1,Fair,5,TRUE,TRUE,Car-only,0.116170549,Bike,No,,,
5a067cL,1,Soup,2024-09-04,2024-09-04,4.4,24,132,Bike,Low,Rainy,0,1.19,Route_2,9ed5b809-323a-432f-97d6-0544a2d0f6f5,39,Male,City_2,28,1,Mediterranean,Aegean Table,Weekly,Yes,Cold,5,5,Good,1,TRUE,FALSE,Mixed,0.644155342,Bike,No,,,
707430F,1,Soup,2024-01-02,2024-01-02,8.39,7,38.5,Bike,High,Snowy,0,14.98,Route_3,4b3a3552-402f-4828-af24-62abe0040546,44,Female,City_2,44,1,Mediterranean,Aegean Table,Monthly,Yes,Cold,2,4,Good,2,TRUE,FALSE,Bike-friendly,0.550038053,Car,No,,,
94c9aaI,1,Soup,2024-09-18,2024-09-18,8,16,88,Walk,Low,Sunny,0,-1.64,Route_4,36b22020-69d4-4810-9a90-0f344b517dd3,27,Male,City_5,9,4,Mediterranean,Aegean Table,Monthly,No,Warm,1,5,Good,2,TRUE,FALSE,Car-only,0.7622237,Car,No,,,
1918b9Z,1,Salad,2024-09-29,2024-09-29,4.27,2,17,Walk,High,Snowy,0,-8.56,Route_5,114b32f8-4cd4-4423-8007-f23b045e222a,49,Other,City_6,49,2,Mediterranean,Aegean Table,Weekly,Yes,Cold,1,5,Poor,1,TRUE,TRUE,Mixed,0.935238279,Car,Yes,,,
4f5854Y,1,Salad,2024-03-24,2024-03-24,8.74,25,212.5,Car,High,Sunny,0,-4.06,Route_5,61ced55f-25ac-4ed5-8aee-0350aade47c9,23,Male,City_2,10,2,Mediterranean,Aegean Table,Monthly,Yes,Cold,2,2,Good,2,FALSE,TRUE,Bike-friendly,0.277847481,Car,No,,,
67f5b2K,1,Salad,2024-03-19,2024-03-19,9.27,1,8.5,Car,Medium,Snowy,0,-0.48,Route_5,cd7775a2-9a7a-4a7a-a271-2cd7f5c3c2d3,34,Female,City_10,34,3,Mediterranean,Aegean Table,Monthly,No,Warm,1,1,Poor,2,FALSE,TRUE,Mixed,0.64579448,Bike,No,,,
87b311K,1,Salad,2024-10-19,2024-10-19,14.4,14,119,Car,Medium,Rainy,0,16.18,Route_5,3b922d84-ea6e-4c99-b6fd-b078464d3fbb,60,Other,City_9,45,2,Mediterranean,Aegean Table,Weekly,Yes,Hot,4,1,Good,3,TRUE,TRUE,Mixed,0.262061294,Bike,No,,,
0f522aW,1,Shawarma,2024-04-15,2024-04-15,5.15,10,100,Bike,Medium,Snowy,0,0.04,Route_3,f2ef2f1e-2970-43f9-a86b-aae9abf2e3cf,31,Other,City_4,28,5,Mediterranean,Aegean Table,Weekly,No,Hot,3,2,Poor,1,TRUE,FALSE,Bike-friendly,0.027903359,Car,No,,,
c2b5d9U,1,Shawarma,2024-06-07,2024-06-07,11.26,3,30,Car,Low,Snowy,0,1.65,Route_1,c9520c92-5b2a-4326-8dac-2c9a21b7a0ad,52,Female,City_6,19,1,Mediterranean,Aegean Table,Weekly,Yes,Warm,2,2,Good,3,TRUE,FALSE,Mixed,0.648483753,Car,No,,,
abf1a0L,1,Soup,2024-10-15,2024-10-15,11.12,16,88,Car,High,Snowy,0,1.79,Route_1,62607c20-a73e-4130-947d-e7e958bd02f4,34,Female,City_1,43,5,Mediterranean,Aegean Table,Monthly,No,Cold,3,2,Poor,2,TRUE,TRUE,Bike-friendly,0.913111611,Car,Yes,,,
043dddV,1,Soup,2024-03-08,2024-03-08,11.05,11,60.5,Car,Medium,Snowy,0,-5.8,Route_4,e4b9c7c8-8046-45fd-8688-f730ef706faf,36,Male,City_5,41,1,Mediterranean,Aegean Table,Monthly,No,Cold,5,3,Fair,3,FALSE,FALSE,Car-only,0.255449434,Car,No,,,
d080dbY,1,Salad,2024-09-30,2024-09-30,10.05,3,25.5,Bike,Medium,Snowy,0,12.59,Route_2,7eac11e2-7832-4d58-a2e6-b46a6042583b,28,Female,City_6,30,4,Mediterranean,Aegean Table,Weekly,Yes,Hot,1,1,Poor,3,FALSE,TRUE,Mixed,0.970686411,Car,Yes,,,
01bd32E,1,Salad,2024-08-24,2024-08-24,7.23,18,153,Car,Medium,Rainy,0,19.4,Route_4,02e08d3c-afd9-40c6-b5b0-f6c604294672,33,Female,City_3,13,5,Mediterranean,Aegean Table,Weekly,No,Cold,3,5,Good,2,FALSE,TRUE,Bike-friendly,0.308038671,Bike,No,,,
d7fbafY,1,Shawarma,2024-10-27,2024-10-27,8.83,7,70,Bike,Low,Sunny,0,13.72,Route_5,bbb65f82-fb8c-4770-a8c7-811bc81a9831,48,Other,City_1,30,1,Mediterranean,Aegean Table,Monthly,Yes,Cold,3,3,Poor,4,FALSE,FALSE,Mixed,0.606704635,Car,No,,,
91110fR,1,Shawarma,2024-09-18,2024-09-18,14.18,9,90,Bike,High,Rainy,0,-5.96,Route_3,4d032124-af01-4204-a4df-1bc2a9b02572,52,Female,City_10,40,5,Mediterranean,Aegean Table,Weekly,No,Cold,2,3,Poor,2,FALSE,FALSE,Car-only,0.15902411,Car,No,,,
5de5b3T,1,Shawarma,2024-11-08,2024-11-08,2.42,21,210,Walk,Medium,Rainy,0,-4.38,Route_5,ab853d5b-3331-4bc3-bc87-f264bc7ecc6c,24,Male,City_7,20,5,Mediterranean,Aegean Table,Weekly,No,Warm,4,1,Fair,4,FALSE,TRUE,Mixed,0.065073122,Bike,No,,,
da51d1N,1,Soup,2024-05-28,2024-05-28,3.05,8,44,Walk,Medium,Snowy,0,-4.74,Route_2,c28374b0-6810-47e1-a845-94dc7f07794f,23,Female,City_6,49,4,Mediterranean,Aegean Table,Monthly,No,Hot,5,4,Fair,1,FALSE,TRUE,Mixed,0.490083974,Bike,No,,,
788af6Q,1,Soup,2024-02-27,2024-02-27,9.61,7,38.5,Car,Medium,Sunny,0,16.67,Route_5,7f4120c7-2a08-4a7e-b990-e491b91aa453,46,Male,City_9,39,4,Mediterranean,Aegean Table,Weekly,No,Cold,1,4,Good,5,FALSE,FALSE,Mixed,0.678026396,Car,No,,,
cf2cd9B,1,Salad,2024-04-25,2024-04-25,13.41,13,110.5,Bike,Medium,Rainy,0,-8.96,Route_3,dd8fd4aa-2416-40a7-8f31-41c4e7ce75ec,50,Other,City_8,2,1,Mediterranean,Aegean Table,Monthly,No,Cold,1,5,Good,5,TRUE,FALSE,Bike-friendly,0.684305227,Bike,No,,,
922f4aI,1,Salad,2024-02-07,2024-02-07,4.88,17,144.5,Bike,High,Sunny,0,19.48,Route_2,2a918465-825d-4cf2-9e2d-f5572b706b0c,33,Female,City_10,10,3,Mediterranean,Aegean Table,Weekly,No,Cold,5,5,Poor,4,FALSE,FALSE,Car-only,0.382581382,Car,No,,,
2da06fR,1,Salad,2024-01-03,2024-01-03,11.09,6,51,Bike,Medium,Sunny,0,11.27,Route_2,2c1a1604-005a-42c9-8403-af55de2246cb,24,Other,City_9,13,5,Mediterranean,Aegean Table,Weekly,Yes,Cold,4,5,Good,4,TRUE,TRUE,Car-only,0.673943122,Bike,No,,,
c2c048T,1,Salad,2024-01-07,2024-01-07,14.89,11,93.5,Bike,Medium,Sunny,0,-0.63,Route_3,b06bc462-150a-459c-b97b-e1d7e48c2a55,54,Male,City_7,13,2,Mediterranean,Aegean Table,Monthly,Yes,Warm,5,1,Good,1,TRUE,TRUE,Mixed,0.470027549,Bike,No,,,
9f0353E,1,Salad,2024-01-09,2024-01-09,10.8,11,93.5,Bike,High,Sunny,0,6.11,Route_5,b5660945-19ad-4d1d-a8c9-81c02e2051f7,51,Male,City_9,46,4,Mediterranean,Aegean Table,Monthly,No,Warm,1,1,Fair,3,TRUE,FALSE,Car-only,0.115366666,Car,No,,,
6b3420C,1,Shawarma,2024-12-08,2024-12-08,8.03,7,70,Car,Medium,Rainy,0,1.7,Route_3,4ee96246-0140-4a14-a94c-d543bb3d2c44,23,Female,City_7,40,2,Mediterranean,Aegean Table,Weekly,No,Hot,5,4,Good,1,TRUE,TRUE,Car-only,0.863245497,Bike,Yes,,,
c361fcY,1,Shawarma,2024-10-03,2024-10-03,3.67,17,170,Car,Low,Snowy,0,0.87,Route_4,a9cf380c-3641-4100-a31b-cc27c4c8eca9,19,Male,City_5,46,5,Mediterranean,Aegean Table,Weekly,Yes,Cold,3,2,Good,2,TRUE,TRUE,Car-only,0.307449869,Bike,No,,,
6b125eB,1,Salad,2024-07-12,2024-07-12,9.71,14,119,Walk,Low,Rainy,0,16,Route_3,f028ac70-b144-4af1-9110-eb9b2efb8d72,31,Other,City_5,6,2,Mediterranean,Aegean Table,Monthly,No,Warm,3,3,Poor,5,TRUE,TRUE,Mixed,0.524560755,Bike,No,,,
ae5b91W,1,Salad,2024-11-30,2024-11-30,5.11,2,17,Walk,Low,Sunny,0,7.78,Route_5,c772aca5-cb67-4ac1-b713-434b7dbc8db2,36,Other,City_4,28,4,Mediterranean,Aegean Table,Monthly,Yes,Hot,3,2,Fair,4,FALSE,FALSE,Mixed,0.304868595,Car,No,,,
e1b024F,1,Salad,2024-10-02,2024-10-02,4.52,23,195.5,Walk,Low,Sunny,0,19.01,Route_3,de22602b-0ae1-4449-b566-c2611d3bbb3f,24,Female,City_4,24,4,Mediterranean,Aegean Table,Monthly,Yes,Cold,1,2,Poor,2,TRUE,FALSE,Car-only,0.369137607,Car,No,,,
df8ff6M,1,Salad,2024-01-04,2024-01-04,2.94,23,195.5,Bike,Low,Snowy,0,3.48,Route_1,9074b098-ee50-4ea6-a208-cc06d9d9c6ff,45,Other,City_4,35,2,Mediterranean,Aegean Table,Monthly,No,Cold,1,1,Good,5,FALSE,TRUE,Mixed,0.491741354,Bike,No,,,
df6f30E,1,Shawarma,2024-11-28,2024-11-28,13.16,22,220,Bike,Medium,Rainy,0,-2.47,Route_5,c407bd5c-3f9c-4d82-aa57-68718b287d41,26,Female,City_10,26,4,Mediterranean,Aegean Table,Monthly,Yes,Warm,5,2,Good,4,FALSE,FALSE,Car-only,0.015083467,Car,No,,,
110fd6D,1,Soup,2024-07-28,2024-07-28,10.64,11,60.5,Bike,High,Sunny,0,16.89,Route_4,d1b08ab5-9fe6-4605-bd4d-c7551c153bff,54,Female,City_3,22,3,Mediterranean,Aegean Table,Monthly,No,Warm,5,2,Poor,1,TRUE,FALSE,Car-only,0.509933836,Car,No,,,
c9b68cK,1,Soup,2024-08-22,2024-08-22,6.12,9,49.5,Car,Medium,Sunny,0,6.53,Route_5,a0cc4fcb-07ef-43ae-a365-1970e83d4c98,41,Male,City_2,12,1,Mediterranean,Aegean Table,Weekly,Yes,Warm,5,5,Good,3,TRUE,TRUE,Mixed,0.522972393,Bike,No,,,
92f2b0J,1,Salad,2024-06-07,2024-06-07,13.85,6,51,Walk,Medium,Snowy,0,9.06,Route_3,d07e4fa7-5f64-49e8-aa66-0c70765a6648,38,Female,City_9,10,2,Mediterranean,Aegean Table,Weekly,Yes,Cold,1,3,Good,5,FALSE,FALSE,Bike-friendly,0.664547848,Car,No,,,
9544bfZ,1,Salad,2024-07-23,2024-07-23,13.26,3,25.5,Walk,Medium,Rainy,0,7.75,Route_5,bccba47a-9bb3-4e9f-b526-f38f549b528d,35,Male,City_10,29,1,Mediterranean,Aegean Table,Monthly,Yes,Warm,2,2,Fair,5,TRUE,FALSE,Bike-friendly,0.273597404,Bike,No,,,
2e0ceaE,1,Salad,2024-09-12,2024-09-12,10.57,10,85,Car,Low,Snowy,0,2.03,Route_3,b448be57-a2a5-4bec-87ca-a32c3d6005b1,57,Female,City_8,4,3,Mediterranean,Aegean Table,Monthly,No,Hot,5,1,Fair,1,FALSE,TRUE,Mixed,0.894420987,Bike,Yes,,,
f2a232M,1,Salad,2024-04-16,2024-04-16,14.73,6,51,Car,Medium,Snowy,0,-2.08,Route_2,6eeca92c-5499-4171-a9be-3a3986ed4d6b,40,Other,City_7,9,4,Mediterranean,Aegean Table,Weekly,No,Cold,3,4,Good,5,TRUE,FALSE,Car-only,0.247311626,Car,No,,,
af6191T,1,Salad,2024-02-20,2024-02-20,12.52,10,85,Car,Low,Snowy,0,2.51,Route_3,4da95047-2694-4bec-ab73-dd6724e77a83,20,Female,City_8,35,4,Mediterranean,Aegean Table,Weekly,No,Hot,1,5,Fair,5,TRUE,FALSE,Mixed,0.176563413,Bike,No,,,
c07defC,1,Shawarma,2024-03-24,2024-03-24,2.78,15,150,Bike,High,Rainy,0,-9.38,Route_5,f4f125b8-fa24-49eb-b359-697e8c6524bd,30,Other,City_7,25,2,Mediterranean,Aegean Table,Weekly,No,Cold,4,3,Fair,3,FALSE,FALSE,Mixed,0.93297943,Car,Yes,,,
6aae52W,1,Soup,2024-04-05,2024-04-05,12.15,7,38.5,Walk,High,Rainy,0,-0.93,Route_5,b9366d3f-e22f-4229-ab70-221be847aee4,53,Other,City_8,19,5,Mediterranean,Aegean Table,Weekly,No,Cold,2,3,Poor,4,FALSE,TRUE,Car-only,0.141542442,Car,No,,,
39bd9dS,1,Soup,2024-01-14,2024-01-14,8.91,23,126.5,Bike,Medium,Rainy,0,0.59,Route_3,e4b7e61f-8a86-4cef-bc2f-5f7fafda1dab,60,Female,City_5,20,2,Mediterranean,Aegean Table,Weekly,No,Hot,4,4,Fair,3,TRUE,FALSE,Mixed,0.440724518,Bike,No,,,
f85b4bR,1,Soup,2024-06-20,2024-06-20,6.56,20,110,Car,Low,Snowy,0,-2.46,Route_5,238c3bf7-0f2c-4c4c-a216-14633243799f,19,Other,City_2,28,5,Mediterranean,Aegean Table,Monthly,No,Warm,3,1,Fair,1,FALSE,FALSE,Mixed,0.713799264,Bike,No,,,
609591K,1,Salad,2024-02-24,2024-02-24,7.27,4,34,Bike,Low,Sunny,0,15.09,Route_2,f84d6c75-167a-4df9-a9bf-987444c20da3,33,Other,City_7,25,5,Mediterranean,Aegean Table,Weekly,Yes,Cold,2,1,Fair,1,FALSE,TRUE,Car-only,0.847325643,Car,Yes,,,
6cf301C,1,Salad,2024-03-14,2024-03-14,10.19,4,34,Car,Medium,Sunny,0,-2.3,Route_4,c669f5b9-c852-4d95-b247-eea913932cc5,60,Female,City_5,15,2,Mediterranean,Aegean Table,Monthly,No,Hot,2,4,Good,2,TRUE,TRUE,Car-only,0.507285771,Bike,No,,,
220b79X,1,Shawarma,2024-02-09,2024-02-09,3.47,11,110,Walk,High,Rainy,0,17.4,Route_4,205503ae-ec22-4b32-9ede-9369eb754a9d,47,Male,City_8,46,1,Mediterranean,Aegean Table,Monthly,Yes,Hot,4,4,Good,5,TRUE,TRUE,Mixed,0.408919317,Car,No,,,
08ca1bW,1,Soup,2024-10-10,2024-10-10,7.32,3,16.5,Bike,Medium,Sunny,0,19.86,Route_4,f1f3bad9-d0e7-4662-ad3a-2cca83b99ca0,53,Female,City_10,50,4,Mediterranean,Aegean Table,Weekly,No,Cold,4,1,Fair,2,FALSE,FALSE,Bike-friendly,0.267471208,Car,No,,,
f82f21W,1,Soup,2024-11-05,2024-11-05,3.8,22,121,Bike,Low,Sunny,0,6.94,Route_3,fc3fbb10-3e21-4cc6-b465-bf5ebba51bbb,56,Female,City_10,1,3,Mediterranean,Aegean Table,Weekly,Yes,Cold,1,3,Fair,5,FALSE,FALSE,Bike-friendly,0.170299408,Car,No,,,
0e78fbU,1,Salad,2024-01-29,2024-01-29,12.3,25,212.5,Bike,High,Sunny,0,-9.87,Route_1,d983f52f-4dcc-473d-b906-10808da12ee9,22,Female,City_6,34,4,Mediterranean,Aegean Table,Weekly,Yes,Hot,1,2,Fair,1,FALSE,TRUE,Mixed,0.536111923,Car,No,,,
790288U,1,Shawarma,2024-09-03,2024-09-03,6.41,13,130,Car,Medium,Rainy,0,17.43,Route_5,872637cb-6412-480d-b6b3-23302638658e,18,Male,City_9,18,5,Mediterranean,Aegean Table,Weekly,Yes,Hot,4,1,Good,4,FALSE,TRUE,Mixed,0.37222178,Car,No,,,
